ID,Année,civilite_elu,nom_elu,prenom_elu,prenom_naissance_elu,date_naissance_elu,lieu_naissance_elu,age,position_cumul_1,CUM_1,statut_parlementaire,statut_cr,statut_cd,statut_csp,statut_cc_1,statut_cm_1,t_departement,t_circo,t_canton,t_commune,t_csp,NuPoREC,nuance_parlementaire,nuance_regionale,nuance_departementale,nuance_municipale,statut_candidature,candidat_cc,c_departement,c_commune,elu_cm_2,elu_cc_2,CUM_2,satut_cc_2,statut_cm_2,EtudiantGD,mvmt_parlementaire,CUM_3
AAR00001,2020,M,AARAB,Mounir,Mounir,1981-02-12,PIERRELATTE,39,CM / CC / CR,,,CR,,,CC,CM,,,,Donzère,,DivDROITE,,DVD,,DIV,1_candidat,1,Drôme,Donzère,1,0,CM / CR,,CM,,,
AAR00002,2020,Mme,AARNINK-GÉMINEL,Dominique,Dominique,1956-03-22,VERDUN,63,CD,,,,CD,,,,Meuse,,Montmédy,,,DivDROITE,,,DVD,,0_noncandidat,0,,,0,0,CD,,,,,
AAR06585,2026,Mme,AARNINK-GÉMINEL,Dominique,Dominique,1956-03-22,VERDUN,69,CD,CD,,,CD,,,,Meuse,,Montmédy,,,CENTRE,,,DVC,,0_noncandidat,0,,,0,0,CD,,,,,CD
ABA00003,2020,M,ABAD,Damien,Damien,1980-04-05,,39,D / CD,,D,,CD,,,,Ain,5Ème Circonscription,Pont-D'Ain,,,DivDROITE,DVD,,LR,,0_noncandidat,0,,,0,0,D / CD,,,,,
ABA00004,2020,Mme,ABADIE,Caroline,Caroline,1976-09-07,ST MARTIN D'HERES,43,D,,D,,,,,,Isère,8Ème Circonscription,,,,CENTRE,ENS,,,,0_noncandidat,0,,,0,0,D,,,,,
ABA00005,2020,Mme,ABADIE,Joëlle,Joëlle,1965-03-23,tarbes,54,CM-M / CC-VP / CD,,,,CD,,CC-VP,CM-M,Hautes-Pyrénées,,La Vallée De L'Arros Et Des Baïses,Tilhouse,,GAUCHE GOUV,,,SOC,DVG,1_candidat,0,Hautes-Pyrénées,Tilhouse,1,1,CM-M / CC / CD,CC,CM-M,,,
ABA00006,2020,Mme,ABADIE PARISI,Anne-Françoise,Anne-Françoise,1959-01-31,,61,CR,,,CR,,,,,Haute-Savoie,,,,,ExDROITE,,RN,,,0_noncandidat,0,,,0,0,CR,,,,,
ABA00007,2020,Mme,ABADIE-ROQUES,Valérie,Valérie,1969-07-20,TARBES,50,CM / CD,,,,CD,,,CM,Aveyron,,Rodez-Onet,Onet-Le-Château,,DivDROITE,,,DVD,DVD,1_candidat,1,Aveyron,Onet-le-Château,1,1,CM / CC / CD,CC,CM,,,
ABA00008,2020,M,ABAILLE,Aurélien,,1953-10-19,,66,CM-A / CD,,,,CD,,,CM-A,Guadeloupe,,Sainte-Anne,Sainte-Anne,,DivGAUCHE,,,DVG,DVG,0_noncandidat,0,,,0,0,CD,,,,,
ABA00009,2020,Mme,ABAUX,Brigitte,Brigitte,1950-02-24,MONTMORILLON,70,CM-A / CD,,,,CD,,,CM-A,Vienne,,Montmorillon,La Trimouille,,DROITE GOUV,,,LR,NC,1_candidat,0,Vienne,La Trimouille,1,1,CM-M / CC-VP / CD,CC-VP,CM-M,,,
ABA06586,2026,M,ABABSA,Farouk,Farouk,1962-01-14,,63,CR,CR,,CR,,,,,Drôme,,,,,INSOUMIS,,FI,,,1_candidat,0,Rhône,Vénissieux,1,0,CR / CM-A,,CM-A,14,,CR / CM-A
ABA06587,2026,M,ABAD,Damien,Damien,1980-04-05,,45,CD,CD,,,CD,,,,Ain,,Pont-D'Ain,,,DROITE GOUV,,,LR,,1_candidat,1,Ain,Oyonnax,1,1,CD / CC / CM-A,CC,CM-A,0,,CD / CC / CM-A
ABA06588,2026,Mme,ABADIE,Florence,Florence,1970-05-11,Saint-Malo,55,CM-A / CC / CD,CD / CC / CM-A,,,CD,,CC,CM-A,Ille-Et-Vilaine,,Saint-Malo-1,Saint-Malo,,DivDROITE,,,DVD,DVD,1_candidat,1,Ille-et-Vilaine,Saint-Malo,1,1,CD / CC / CM-A,CC,CM-A,8,,CD / CC / CM-A
ABA06589,2026,Mme,ABADIE,Joëlle,Joëlle,1965-03-23,tarbes,60,CM-M / CC / CD-VP,CD-VP / CC / CM-M,,,CD-VP,,CC,CM-M,Hautes-Pyrénées,,La Vallée De L'Arros Et Des Baïses,Tilhouse,,GAUCHE GOUV,,,SOC,SOC,2_tetedeliste,0,Hautes-Pyrénées,Tilhouse,1,0,CD-VP / CM,,CM,7,,CD-VP / CM
ABA06590,2026,Mme,ABADIE,Muriel,Muriel,1970-11-09,Castelsarrasin,55,CM-M / CC / CR-VP,CR-VP / CC / CM-M,,CR-VP,,,CC,CM-M,Gers,,,Pujaudran,,GAUCHE GOUV,,SOC,,DVG,2_tetedeliste,1,Hautes-Pyrénées,Pujaudran,1,1,CR-VP / CC / CM-M,CC,CM-M,7,,CR-VP / CC / CM-M
ABA06591,2026,Mme,ABADIE-ROQUES,Valérie,Valérie,1969-07-20,TARBES,56,CM / CC / CD,CD / CC / CM,,,CD,,CC,CM,Aveyron,,Rodez-Onet,Onet-Le-Château,,DivDROITE,,,DVD,DVD,1_candidat,0,Aveyron,Onet-le-Château,1,0,CD / CM,,CM,2,,CD / CM
ABA06592,2026,Mme,ABAUX,Brigitte,Brigitte,1950-02-24,MONTMORILLON,75,CM-M / CC-VP / CD,CD / CC-VP / CM-M,,,CD,,CC-VP,CM-M,Vienne,,Montmorillon,La Trimouille,,DROITE GOUV,,,LR,NC,0_noncandidat,0,,,0,0,CD,,,,,CD
ABB00010,2020,Mme,ABBA,Bérangère,Bérangère,1976-10-22,CHAUMONT,43,D,,D,,,,,,Haute-Marne,1Ère Circonscription,,,,CENTRE,REM,,,,0_noncandidat,0,,,0,0,D,,,,,
ABB00011,2020,M,ABBAS,Gérard,Gérard,1944-06-07,BAR LE DUC,75,CM-M / CC-VP / CD,,,,CD,,CC-VP,CM-M,Meuse,,Bar-Le-Duc-2,Fains-Véel,,DROITE GOUV,,,LR,LR,2_tetedeliste,1,Meuse,Fains-Véel,1,1,CM-M / CC-VP / CD,CC-VP,CM-M,,,
ABB06593,2026,M,ABBAS,Gérard,Gérard,1944-06-07,BAR LE DUC,81,CM-M / CC-VP / CD-VP,CD-VP / CC-VP / CM-M,,,CD-VP,,CC-VP,CM-M,Meuse,,Bar-Le-Duc-2,Fains-Véel,,DROITE GOUV,,,LR,LR,2_tetedeliste,1,Meuse,Fains-Véel,1,1,CD-VP / CC / CM-M,CC,CM-M,11,,CD-VP / CC / CM-M
ABD00012,2020,Mme,ABDOUL WASSION,Armamie,,1975-12-14,,44,CD,,,,CD,,,,Mayotte,,Mamoudzou-1,,,DROITE GOUV,,,LR,,0_noncandidat,0,,,0,0,CD,,,,,
ABD06594,2026,Mme,ABDALLAH-BOINA,Laini,Laini,1981-02-07,,44,CD,CD,,,CD,,,,Mayotte,,Mamoudzou-2,,,CENTRE,,,DVC,,1_candidat,0,Mayotte,Mamoudzou,0,0,CD,,,,,CD
ABE00013,2020,Mme,ABELA,Annick,Annick Corinne,1969-10-01,,50,CR,,,CR,,,,,Guadeloupe,,,,,DivGAUCHE,,DVG,,,0_noncandidat,0,,,0,0,CR,,,,,
ABE00014,2020,M,ABELIN,Jean-Pierre,Jean-Pierre,1950-09-03,POITIERS,69,CM-M / CC-P / CD,,,,CD,,CC-P,CM-M,Vienne,,Châtellerault-3,Châtellerault,,CENTRE,,,UDI,UDI,2_tetedeliste,1,Vienne,Châtellerault,1,1,CM-M / CC-P / CD,CC-P,CM-M,,,
ABE00015,2020,Mme,ABELIN,Véronique,Véronique,1978-10-28,,41,CR,,,CR,,,,,Vienne,,,,,CENTRE,,UDI,,,0_noncandidat,0,,,0,0,CR,,,,,
ABE06595,2026,Mme,ABEILLE,Laurence,Laurence,1960-06-17,,65,CR,CR,,CR,,,,,Paris,,,,,ECOLO,,ECO,,,0_noncandidat,0,,,0,0,CR,,,,,CR
ABE06596,2026,Mme,ABELIN-DRAPRON,Véronique,Véronique,1978-10-28,,47,CD-VP,CD-VP,,,CD-VP,,,,Charente-Maritime,,Saintes,,,CENTRE,,,UDI,,1_candidat,1,Charente-Maritime,Saintes,1,1,CD-VP / CC / CM,CC,CM,3,,CD-VP / CC / CM
ABI00016,2020,M,ABINAL,Jean-Philippe,Jean-Philippe,1969-09-17,RODEZ,50,CM / CD,,,,CD,,,CM,Aveyron,,Rodez-Onet,Onet-Le-Château,,DivDROITE,,,DVD,NC,1_candidat,1,Aveyron,Onet-le-Château,1,0,CM-A / CD,,CM-A,,,
ABI00017,2020,Mme,ABIVEN,Bernadette,Bernadette,1961-02-20,BREST (29),59,CM-A / CC-VP / CD,,,,CD,,CC-VP,CM-A,Finistère,,Brest-1,Brest,,GAUCHE GOUV,,,SOC,NC,1_candidat,0,Finistère,Brest,1,1,CM / CC-VP / CD,CC-VP,CM,,,
ABI06597,2026,M,ABINAL,Jean-Philippe,Jean-Philippe,1969-09-17,RODEZ,56,CM-A / CD-VP,CD-VP / CM-A,,,CD-VP,,,CM-A,Aveyron,,Rodez-Onet,Onet-Le-Château,,DivDROITE,,,DVD,DVD,1_candidat,0,Aveyron,Onet-le-Château,1,0,CD-VP / CM-A,,CM-A,2,,CD-VP / CM-A
ABM06598,2026,Mme,ABMON-ELIZEON,Liliane,Liliane,1969-03-02,SAINT-JOSEPH,56,CM-A / CR,CR / CM-A,,CR,,,,CM-A,La Réunion,,,Le Tampon,,AUTRE,,DIV,,DVC,0_noncandidat,0,,,0,0,CR,,,,,CR
ABO00018,2020,Mme,ABOMANGOLI,Nadège,Nadège,1975-09-15,BRAZZAVILLE (CONGO),44,CM / CD-VP,,,,CD-VP,,,CM,Seine-Saint-Denis,,Epinay-Sur-Seine,Villetaneuse,,GAUCHE RAD,,,FI,SOC,2_tetedeliste,1,Seine-Saint-Denis,Pantin,1,0,CM / CD-VP,,CM,,,
ABO00019,2020,Mme,ABONDANCE,Jocelyne,,1954-02-06,,66,CD,,,,CD,,,,Savoie,,Moûtiers,,,DROITE GOUV,,,LR,,0_noncandidat,0,,,0,0,CD,,,,,
ABO00020,2020,Mme,ABOUBACAR BEN VITRY,Faouzia,Faouzia,1981-02-19,Icone Bambao (COMORES),39,CM / CC / CR-VP,,,CR-VP,,,CC,CM,La Réunion,,,Saint-Denis,,CENTRE,,UDI,,UDI,1_candidat,1,La Réunion,Saint-Denis,1,0,CM / CR-VP,,CM,,,
ABO06599,2026,Mme,ABOMANGOLI,Nadège,Nadège,1975-09-15,BRAZZAVILLE (CONGO),50,D / CM,D / CM,D,,,,,CM,Seine-Saint-Denis,10Ème Circonscription,,Pantin,,GAUCHE UNIE,UG,,,FI,1_candidat,1,Seine-Saint-Denis,Bondy,1,0,D / CM,,CM,16,,D / CM
ABR00021,2020,Mme,ABRAHAM,Julia,Julia,1992-08-10,,27,CM / CR,,,CR,,,,CM,Bas-Rhin,,,Strasbourg,,ExDROITE,,RN,,RN,1_candidat,0,La Réunion,Saint-Pierre,0,0,CR,,,,,
ABR00022,2020,M,ABRIAL,Raymond,Raymond,1956-12-25,YSSINGEAUX,63,CM-M / CC-VP / CD,,,,CD,,CC-VP,CM-M,Haute-Loire,,Emblavez-Et-Meygal,Saint-Pierre-Eynac,,DivGAUCHE,,,DVG,DVG,2_tetedeliste,1,Haute-Loire,Saint-Pierre-Eynac,1,1,CM-M / CC / CD,CC,CM-M,,,
ABR06600,2026,M,ABRAHAM,Yannick,Yannick,1959-09-18,,66,CD-VP,CSP-VP,,,,CSP-VP,,,,,,,Saint-Pierre-Et-Miquelon,DivDROITE,,,DVD,,0_noncandidat,0,,,0,0,CSP-VP,,,,,CSP-VP
ABR06601,2026,M,ABRANOWITCH,Stéphane,Stéphane,1971-08-19,DESERTINES,54,CM-M / CC / CD,CD / CC / CM-M,,,CD,,CC,CM-M,Allier,,Huriel,Huriel,,DivDROITE,,,DVD,DIV,0_noncandidat,0,,,0,0,CD,,,,,CD
ABR06602,2026,Mme,ABREU,Emma,Emma,1982-05-12,MEAUX,43,CM / CD,CD / CM,,,CD,,,CM,Seine-Et-Marne,,Villeparisis,Villeparisis,,CENTRE,,,REM,REM,2_tetedeliste,1,Seine-et-Marne,Villeparisis,1,0,CD / CM,,CM,15,,CD / CM
ABR06603,2026,M,ABRIAL,Raymond,Raymond,1956-12-25,YSSINGEAUX,68,CM-M / CC / CD,CD / CC / CM-M,,,CD,,CC,CM-M,Haute-Loire,,Emblavez-Et-Meygal,Saint-Pierre-Eynac,,DivGAUCHE,,,DVG,NC,2_tetedeliste,1,Haute-Loire,Saint-Pierre-Eynac,1,1,CD / CC / CM-M,CC,CM-M,7,,CD / CC / CM-M
ABR06604,2026,M,ABRY,Gilles,Gilles Emile,1962-05-08,Leugny 89,63,CM-M / CC / CD,CD / CC / CM-M,,,CD,,CC,CM-M,Yonne,,Cur De Puisaye,Leugny,,DivDROITE,,,DVD,DVD,2_tetedeliste,0,Yonne,Leugny,1,0,CD / CM-M,,CM-M,18,,CD / CM-M
ABS06605,2026,Mme,ABSYTE,Brigitte,Marie,1965-02-03,Saint-Paul,60,CD,CD,,,CD,,,,La Réunion,,Saint-Leu,,,CENTRE,,,DVC,,1_candidat,0,La Réunion,Les Trois-Bassins,1,0,CD / CM,,CM,9,,CD / CM
ACA00023,2020,M,ACARD,Julien,Julien,1986-11-06,,33,CM / CC / CR,,,CR,,,CC,CM,Doubs,,,Besançon,,ExDROITE,,RN,,RN,0_noncandidat,0,,,0,0,CR,,,,,
